message,severity,attributes,tags,timestamp
started background certificate maintenance,info,"{""cache"":""0x4a5d3102280"",""ts"":1774009437.760303,""logger"":""tls.cache.maintenance"",""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079224698Z
HTTP/2 skipped because it requires TLS,warn,"{""addr"":"":8080"",""ts"":1774009437.760669,""logger"":""http"",""network"":""tcp"",""level"":""warn""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079231848Z
HTTP/3 skipped because it requires TLS,warn,"{""addr"":"":8080"",""ts"":1774009437.7606833,""logger"":""http"",""network"":""tcp"",""level"":""warn""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079239672Z
maxprocs: Updating GOMAXPROCS=2: determined from CPU quota,info,"{""ts"":1774009437.7600837,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079248303Z
server running,info,"{""protocols"":[""h1"",""h2"",""h3""],""ts"":1774009437.760686,""logger"":""http.log"",""name"":""srv0"",""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079249472Z
GOMEMLIMIT is updated,info,"{""previous"":9223372036854776000,""ts"":1774009437.7601032,""GOMEMLIMIT"":899997696,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079256493Z
serving initial configuration,info,"{""ts"":1774009437.7607145,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079258374Z
using config from file,info,"{""file"":""/Caddyfile"",""ts"":1774009437.7601066,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079263430Z
adapted config to JSON,info,"{""adapter"":""caddyfile"",""ts"":1774009437.7601078,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079269609Z
Starting Container,info,"{""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.788753264Z
Stopping Container,info,"{""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:24:15.822093089Z
handled request,info,"{""resp_headers"":{""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7luu5k8ohsdeb-gzip\""""],""Content-Type"":[""text/html; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:23:43 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""]},""ts"":1774009456.7474344,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.2"",""remote_port"":""22202"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/"",""headers"":{""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""X-Request-Start"":[""1774009456500""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""X-Real-Ip"":[""118.163.198.6""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""X-Railway-Request-Id"":[""TsL9KUB2RhimvRPGV7rehQ""],""Sec-Fetch-Dest"":[""document""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Cache-Control"":[""no-cache""],""Cookie"":[""REDACTED""],""Upgrade-Insecure-Requests"":[""1""],""X-Forwarded-For"":[""118.163.198.6""],""Accept"":[""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""X-Forwarded-Proto"":[""https""],""Pragma"":[""no-cache""],""Priority"":[""u=0, i""],""Sec-Fetch-Mode"":[""navigate""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""Sec-Ch-Ua-Mobile"":[""?0""],""Sec-Fetch-Site"":[""none""],""Sec-Fetch-User"":[""?1""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.001396023,""size"":4284,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:24:17.886588397Z
handled request,info,"{""resp_headers"":{""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7luu5k8ohszaf-gzip\""""],""Content-Type"":[""text/javascript; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:23:43 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""]},""ts"":1774009457.2408876,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.2"",""remote_port"":""22202"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/assets/index-CMqvIUod.js"",""headers"":{""Cache-Control"":[""no-cache""],""Pragma"":[""no-cache""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Sec-Fetch-Dest"":[""script""],""Cookie"":[""REDACTED""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""Sec-Ch-Ua-Mobile"":[""?0""],""X-Railway-Request-Id"":[""0ROOFQvCR5uC0E7xV7rehQ""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Priority"":[""u=1""],""X-Forwarded-For"":[""118.163.198.6""],""Sec-Fetch-Mode"":[""cors""],""Sec-Fetch-Site"":[""same-origin""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""Origin"":[""https://texas-hold-em-poker-production-121b.up.railway.app""],""Accept"":[""*/*""],""X-Forwarded-Proto"":[""https""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""X-Real-Ip"":[""118.163.198.6""],""X-Request-Start"":[""1774009457158""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.001231273,""size"":12806,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:24:17.886594425Z
